# STAP-0 24-09 — RLZ-rekenregel btw per document (lees-only, nameting.sh rlz-lezen, GET op de gedeployde job-image 1995edd)
# label: V-<verkoopnr> = doorbelasting-verkoop Kempen Facilities (SalesInvoices/{guid}); S-<verkoopnr> = spiegel-inkoop in het doel (PurchaseInvoices/{guid});
#        I-<adm>-<boekstuk> = gewone module-inkoopfactuur (PurchaseInvoices/{uuid5}). Percentages: doorbelasting = vlak 21 % (instelling), inkoop = taxrate_cache van de module.
# H1 = document-btw == Σ per tarief round_half_up(Σ netto × pct); grootste_regel = elke regel round_half_up(netto × pct), de grootste regel (|netto|, eerste bij gelijk) draagt het verschil.
label	n_regels	netto_per_regel	taxamount_rlz_per_regel	TotalNetAmount	TotalTaxAmount	TotalPayableAmount	H1_klopt	grootste_regel_klopt	grootste_rest_klopt	eerste_regel_klopt	half_case	ons_btw	rlz_min_ons_ct	rlz_incl_min_factuur_ct
I-BLOw-RLZ-04-00000419	2	20.59|5.25	1.85|0.0	25.84	1.85	27.69	None	None	None	None	None	1.85	0	0
I-BLOw-RLZ-04-00000424	2	95.5|329.0	20.06|29.61	424.5	49.67	474.17	True	True	True	True	False	49.67	0	0
I-BLOw-RLZ-04-00000427	6	30.37|20.65|52.11|4.46|4.46|9.22	6.38|4.34|10.93|0.94|0.94|1.94	121.27	25.47	146.74	True	True	False	False	False	25.48	-1	-1
I-BLOw-RLZ-04-00000429	2	399.0|188.0	35.91|39.48	587.0	75.39	662.39	True	True	True	True	False	75.39	0	0
I-BLOw-RLZ-04-00000432	2	8.09|4.5	0.73|0.0	12.59	0.73	13.32	None	None	None	None	None	0.73	0	0
I-BLOw-RLZ-04-00000434	2	19.49|5.26	1.75|1.1	24.75	2.85	27.6	True	True	True	True	False	2.85	0	0
I-BLOw-RLZ-04-00000435	2	32.51|1.55	6.83|0.14	34.06	6.97	41.03	True	True	True	True	False	6.97	0	0
I-BLOw-RLZ-04-00000445	2	4.12|2.28	0.87|0.21	6.4	1.08	7.48	True	True	True	True	False	1.08	0	0
I-BLOw-RLZ-04-00000447	2	18.56|0.95	3.9|0.09	19.51	3.99	23.5	True	True	True	True	False	3.99	0	0
I-BLOw-RLZ-04-00000451	2	12.22|1.55	2.57|0.14	13.77	2.71	16.48	True	True	True	True	False	2.71	0	0
I-BLOw-RLZ-04-00000460	3	12.39|1.64|0.15	2.6|0.15|0.0	14.18	2.75	16.93	None	None	None	None	None	2.75	0	0
I-BLOw-RLZ-04-00000476	2	7.31|0.41	0.66|0.09	7.72	0.75	8.47	True	True	True	True	False	0.75	0	0
I-KF-RLZ-04-00004323	3	472.48|80.36|-1.95	99.22|16.88|0.0	550.89	116.1	666.99	None	None	None	None	None	116.35	-25	-25
I-KF-RLZ-04-00004327	2	139.5|139.5	29.29|29.3	279.0	58.59	337.59	True	True	False	True	False	58.60	-1	-1
I-KF-RLZ-04-00004348	8	1800.0|3500.0|365.0|130.0|409.5|221.0|0.0|126.4	378.0|735.0|76.65|27.3|86.0|46.41|0.0|26.54	6551.9	1375.9	7927.8	True	True	True	True	False	1375.89	1	0
I-KF-RLZ-04-00004376	2	1062.56|750.02	95.63|157.5	1812.58	253.13	2065.71	True	True	True	True	False	253.13	0	0
I-KF-RLZ-04-00004406	3	268.31|-1.0|45.6	56.34|0.0|9.58	312.91	65.92	378.83	None	None	None	None	None	65.93	-1	-1
I-KF-RLZ-04-00004407	3	1271.0|297.93|1997.5	266.91|62.57|419.47	3566.43	748.95	4315.38	True	True	True	False	False	748.96	-1	0
I-KF-RLZ-04-00004408	2	59.45|127.21	12.48|26.72	186.66	39.2	225.86	True	True	False	False	False	39.20	0	0
I-KF-RLZ-04-00004429	3	218.71|37.18|-2.0	45.93|7.81|0.0	253.89	53.74	307.63	None	None	None	None	None	53.74	0	0
I-KF-RLZ-04-00004443	3	58.46|4.68|5.26	12.28|0.98|1.1	68.4	14.36	82.76	True	True	True	True	False	14.36	0	0
I-KF-RLZ-04-00004444	4	236.17|18.89|21.26|-0.7	49.6|3.97|4.46|0.0	275.62	58.03	333.65	None	None	None	None	None	58.03	0	0
I-KF-RLZ-04-00004455	3	206.25|75.7|160.16	43.31|15.9|33.63	442.11	92.84	534.95	True	True	True	True	False	92.84	0	0
I-KF-RLZ-04-00004470	6	2020.0|3840.0|375.0|130.0|409.5|221.0	424.2|806.4|78.75|27.3|86.0|46.41	6995.5	1469.06	8464.56	True	True	True	True	False	1469.06	0	0
I-KF-RLZ-04-00004480	2	974.5|339.18	204.65|30.53	1313.68	235.18	1548.86	True	True	True	True	True	235.18	0	1
I-KF-RLZ-04-00004481	6	23.1|10.98|1.6|34.8|13.2|10.98	4.85|2.31|0.34|7.3|2.77|2.31	94.66	19.88	114.54	True	True	False	False	False	19.89	-1	0
I-KF-RLZ-04-00004482	2	636.06|410.21	57.25|86.14	1046.27	143.39	1189.66	True	True	True	True	False	143.39	0	0
I-KF-RLZ-04-00004485	3	1608.38|1608.38|49.0	337.76|337.76|10.29	3265.76	685.81	3951.57	True	True	True	True	False	685.81	0	0
I-KF-RLZ-04-00004489	2	113.14|59.66	23.76|12.53	172.8	36.29	209.09	True	True	True	True	False	36.29	0	0
I-KF-RLZ-04-00004512	3	1365.01|105.6|118.8	286.65|22.18|24.95	1589.41	333.78	1923.19	True	True	True	True	False	286.65	4713	0
I-KF-RLZ-04-00004514	3	248.72|19.9|22.38	52.23|4.18|4.7	291.0	61.11	352.11	True	True	True	True	False	61.11	0	0
I-KF-RLZ-04-00004515	4	236.17|-0.8|18.89|21.26	49.6|0.0|3.97|4.46	275.52	58.03	333.55	None	None	None	None	None	58.03	0	0
I-KF-RLZ-25-00004355	2	228.5|228.5	47.98|47.99	457.0	95.97	552.97	True	True	False	True	False	95.98	-1	0
I-KF-RLZ-25-00004473	2	228.5|228.5	47.98|47.99	457.0	95.97	552.97	True	True	False	True	False	95.98	-1	0
I-KF-RLZ-89-00004398	2	13689.82|3633.12	2874.86|762.96	17322.94	3637.82	20960.76	True	True	True	True	False	3636.86	96	97
I-KF-RLZ-89-00004484	12	1986.96|1168.8|553.09|302.6|274.5|834.75|556.5|556.5|80.42|80.42|80.42|0.02	417.23|245.45|116.15|63.55|57.65|175.3|116.87|116.87|16.89|16.89|16.89|0.0	6474.98	1359.74	7834.73	None	None	None	None	None	1359.77	-3	0
